Classe |  Parametres du traitement
0      | 17 17 17 13 13 13 10 10 10 10 10 10 10 6 6 6 6 6 6 6 6 6 6 6 3 3 3 3 3 3 3 3 6 6 6 3 3 3 3 6 6 6 6 6 6 6 10 10 10 10 13 13 13 17 17 17 17 24 24 24 24 64 64 64 
0      | 24 24 24 21 21 21 17 17 17 17 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 13 13 13 13 17 17 17 21 21 21 21 28 28 28 28 64 64 64 
0      | 29 29 29 24 24 24 24 24 18 18 16 16 16 16 16 16 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 16 16 16 16 16 16 16 16 18 18 18 18 18 21 21 21 21 21 26 26 26 29 29 29 64 64 64 
0      | 64 64 18 18 18 18 18 15 15 15 15 15 15 15 15 15 15 15 15 15 15 12 12 12 12 12 12 12 12 12 12 12 12 12 15 15 15 15 15 15 15 15 15 15 15 18 18 18 18 18 18 18 18 21 21 21 23 23 23 26 26 26 64 64 
0      | 28 28 28 21 21 21 17 17 17 17 13 13 13 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 13 13 13 13 13 13 13 17 17 17 17 17 17 17 21 21 21 21 24 24 24 28 28 28 28 32 32 32 32 64 64 64 
0      | 64 64 28 28 28 22 22 22 22 22 22 22 18 18 18 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 12 12 12 15 15 15 15 15 15 15 15 15 15 15 15 15 18 18 18 18 22 22 22 22 22 22 25 25 25 25 64 64 
0      | 19 19 19 12 12 12 12 12 12 9 9 9 9 9 9 9 9 9 9 9 9 9 12 12 12 15 15 15 19 19 19 19 19 19 19 19 19 19 22 22 22 22 22 22 25 25 25 25 25 25 25 28 28 28 28 28 28 32 32 32 32 64 64 64 
0      | 26 26 26 23 23 17 17 17 14 14 14 11 11 11 8 8 8 8 8 8 5 5 5 5 5 5 3 3 3 3 3 3 3 3 5 5 5 5 5 5 8 8 8 11 11 11 11 11 11 14 14 14 17 17 17 23 23 23 29 29 29 64 64 64 
0      | 64 64 64 64 64 64 64 64 64 35 35 35 25 25 25 22 22 22 22 15 15 15 12 12 12 9 9 9 6 6 6 6 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 6 6 6 64 64 64 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 38 38 38 28 28 28 25 25 25 25 22 22 22 18 18 18 15 15 15 15 12 12 12 8 8 8 8 8 8 8 5 5 5 5 5 5 5 5 5 5 2 2 2 5 5 5 5 5 5 5 5 5 5 8 8 8 15 15 15 15 64 64 
0      | 64 64 32 32 27 27 27 24 24 22 22 22 19 19 17 17 17 17 17 14 14 14 14 14 12 12 12 12 12 12 12 12 9 9 9 9 9 9 9 12 12 12 12 12 14 14 14 17 17 19 19 19 19 19 22 22 22 24 24 32 32 32 64 64 
0      | 64 64 26 26 21 21 21 18 18 18 18 18 15 15 15 12 12 12 12 12 12 10 10 10 10 10 7 7 7 7 7 7 7 7 7 7 7 45 45 45 45 45 18 18 18 15 15 15 15 15 15 15 15 18 18 18 21 21 21 29 29 29 64 64 
0      | 64 64 32 32 24 24 24 22 22 19 19 19 17 17 14 14 14 14 14 12 12 12 12 12 12 12 12 9 9 9 9 9 9 9 9 9 9 12 12 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 17 17 17 22 22 27 27 27 64 64 
0      | 64 64 64 64 64 64 64 64 64 34 34 34 29 29 24 24 24 19 19 17 17 17 14 14 12 12 12 9 9 7 7 7 7 7 4 4 4 2 2 2 2 2 2 2 2 2 2 4 4 9 9 9 14 14 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 64 64 34 34 34 27 27 22 22 22 17 17 14 14 14 12 12 9 9 9 9 9 7 7 7 4 4 4 4 4 4 4 2 2 2 2 2 2 2 2 2 2 4 4 4 4 4 7 7 7 9 9 14 14 14 19 19 64 64 64 64 64 
0      | 64 64 32 32 32 23 23 23 20 20 20 14 14 14 14 14 14 11 11 11 8 8 8 8 8 8 5 5 5 5 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 11 11 11 11 11 11 11 11 11 11 11 11 14 14 14 64 64 
0      | 64 64 37 37 29 29 29 26 26 26 21 21 18 18 18 15 15 15 15 15 15 12 12 10 10 10 10 10 10 7 7 7 7 7 7 7 7 4 4 4 4 4 4 4 4 4 4 4 4 4 4 7 7 4 4 4 4 4 4 12 12 12 64 64 
0      | 64 64 28 28 28 22 22 22 18 18 18 18 12 12 12 8 8 8 8 8 8 8 5 5 5 5 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 5 5 5 5 8 8 8 8 12 12 12 22 22 22 64 64 64 64 64 64 
